model,key_bits,value_bits,m_over_d,n_seeds,m,perplexity_mean,perplexity_std,ppl_delta_fp_mean,ppl_delta_fp_std,attention_logit_mae_mean,attention_logit_mae_std,attention_logit_rmse_mean,attention_logit_rmse_std,qjl_residual_rmse_mean,qjl_residual_rmse_std,attention_kl_fp_to_quantized_mean,attention_kl_fp_to_quantized_std,runtime_s_mean,runtime_s_std,qjl_sketch_bytes_per_key_mean,qjl_sketch_bytes_per_key_std,key_storage_bytes_per_key_mean,key_storage_bytes_per_key_std,previous_m_over_d,added_qjl_bytes,perplexity_gain_from_previous,perplexity_gain_per_added_qjl_byte
gpt2,3,2,0.5,5,32,222.2530424865181,23.808791769874404,191.3257011675316,23.8087917698744,12.621810039215617,0.22081960948969026,15.99600546144777,0.29003652645137235,15.996005454825033,0.2900365611358298,0.9949483513728612,0.020740632002767566,0.8086991083997418,0.007949940528378939,8.0,0.0,28.0,0.0,,,,
gpt2,3,2,1.0,5,64,92.28882193926306,4.768239579218815,61.361480620276595,4.768239579218815,8.924044832835595,0.11261506685372467,11.32589781731367,0.15237198337567756,11.325897829896874,0.15237203116450385,0.5391454674316467,0.01239273348935935,0.7997272582011646,0.006688764641201418,12.0,0.0,32.0,0.0,0.5,4.0,129.96422054725502,32.491055136813756
gpt2,3,2,2.0,5,128,54.433973951566735,1.9401006705214365,23.506632632580278,1.9401006705214368,6.342937464018663,0.07927524058072047,8.056395744283995,0.09855592388020876,8.056395758936802,0.09855594195539821,0.28003345009702674,0.0036225252309415664,0.8078280583999004,0.007118309618346435,20.0,0.0,40.0,0.0,1.0,8.0,37.854847987696324,4.7318559984620405
gpt2,3,2,4.0,5,256,40.39030123332907,1.1970583741433707,9.462959914342601,1.1970583741433707,4.44254108750158,0.05779138302652581,5.640494221448899,0.07001045264563673,5.640494219544861,0.07001045889234048,0.1365857404229852,0.0022953973901633094,0.8649789247996523,0.0797704659222628,36.0,0.0,56.0,0.0,2.0,16.0,14.043672718237666,0.8777295448898541
gpt2,4,2,0.5,5,32,61.06287766716184,1.8862995929783342,30.13553634817539,1.8862995929783344,6.7447222915788485,0.05841894526943225,8.575006506012546,0.07272132744823188,8.575006521824331,0.07272129095544434,0.349967375158384,0.004710636040867292,1.4866420502003166,0.06698454831823089,8.0,0.0,36.0,0.0,,,,
gpt2,4,2,1.0,5,64,45.16366154650314,1.6294173120659223,14.23632022751668,1.629417312065922,4.764133350013031,0.05321175514546487,6.0678478928903745,0.06322933238735959,6.067847877078585,0.06322931995094876,0.17872992351670594,0.00408808878149782,1.355058933199325,0.029024831221843697,12.0,0.0,40.0,0.0,0.5,4.0,15.8992161206587,3.974804030164675
gpt2,4,2,2.0,5,128,37.84419458622424,0.5315506942531076,6.916853267237772,0.5315506942531076,3.391988686223825,0.020128181969376772,4.320876405512292,0.02435974972222187,4.320876402656237,0.024359743506691754,0.09005946337064315,0.0012052786102284697,1.4630312334003974,0.10724617787984056,20.0,0.0,48.0,0.0,1.0,8.0,7.319466960278902,0.9149333700348627
gpt2,4,2,4.0,5,256,35.95431157593833,0.8401320079803641,5.02697025695186,0.8401320079803642,2.3825702902964423,0.030407682660185977,3.0365801852610375,0.03980872861490621,3.0365801775621044,0.03980872085233093,0.0437322811244586,0.0010043023498297313,1.0189426415992784,0.30260612558225225,36.0,0.0,64.0,0.0,2.0,16.0,1.8898830102859137,0.1181176881428696
