key_bits,value_bits,m_over_d,layer,attention_logit_rmse_mean,attention_logit_rmse_sd,attention_kl_mean,attention_kl_sd,residual_norm_mean,key_norm_mean
3,2,0.0,0,0.9615691602230072,0.0,0.12637335900217295,0.0,4.084735035896301,12.107731580734253
3,2,0.0,1,0.5867374613881111,0.0,0.09710357974593838,0.0,3.394339601198832,10.170875589052836
3,2,0.0,2,2.684832108517488,0.0,0.6982962622617682,0.0,7.566338727871577,22.25035508473714
3,2,0.0,3,3.525210089981556,0.0,0.9426673837006092,0.0,10.23697954416275,30.002460996309917
3,2,0.0,4,3.0707496081789336,0.0,0.7228371007367969,0.0,8.550304194291433,25.016655484835308
3,2,0.0,5,1.6687828252712886,0.0,0.28716126798341673,0.0,5.612205356359482,16.5926566918691
3,2,0.0,6,1.5810098325212796,0.0,0.32705645977209014,0.0,5.599389453728993,16.348114450772602
3,2,0.0,7,1.4429736795524757,0.0,0.23532894998788834,0.0,5.221927295128505,15.595848004023233
3,2,0.0,8,1.1781943005820115,0.0,0.20845398834596077,0.0,4.798409283161163,14.342183828353882
3,2,0.0,9,1.0285440584023793,0.0,0.1690958763162295,0.0,4.448335478703181,13.177578330039978
3,2,0.0,10,0.8979966615637144,0.0,0.13376904589434466,0.0,4.165692448616028,12.49757174650828
3,2,0.0,11,0.6249206811189651,0.0,0.11530286073684692,0.0,3.5183311998844147,10.445563356081644
3,2,1.0,0,0.865384983519713,0.027566306648064018,0.19730755427541832,0.011679335577420707,4.084735035896301,12.107731580734253
3,2,1.0,1,0.5870458309849103,0.016986130934505184,0.14433592694501082,0.01225940557782782,3.4190403491258623,10.248567628860474
3,2,1.0,2,2.1152352795004843,0.06351490483782232,1.178106065777441,0.08071602104064489,7.484179522593816,22.012595824400584
3,2,1.0,3,2.8828575337926545,0.04298175216359744,1.620460105439027,0.016953298068906893,10.230924413601558,29.961890689531963
3,2,1.0,4,2.6989434252182645,0.14406701943469555,1.231432294504096,0.0602782050981412,8.601444536447525,25.075615445772808
3,2,1.0,5,1.5175239861011505,0.018674683058377065,0.4456300095344583,0.03822334571451871,5.590225038925807,16.539744551976522
3,2,1.0,6,1.424966288606326,0.029031104790878857,0.4425765997419755,0.028723505220756597,5.579832804203034,16.254760909080506
3,2,1.0,7,1.3243872006734212,0.027984291981024527,0.35955271956821283,0.026626633892271562,5.150406100352606,15.379078658421834
3,2,1.0,8,1.0903539548317591,0.048607711482789376,0.28492359978457293,0.022693355869992802,4.712788259983062,14.0663858016332
3,2,1.0,9,0.9597659423947335,0.034753555580507405,0.2261773797683418,0.014460799814190173,4.254336273670196,12.602625997861226
3,2,1.0,10,0.8714631795883179,0.009728433717629376,0.19193962042530377,0.017440264370986756,3.9918764054775235,11.96730055809021
3,2,1.0,11,0.6509191207587719,0.005911633730943147,0.14730373341590167,0.008534520092083817,3.3696420351664225,10.005882978439331
3,2,2.0,0,0.6200304490824541,0.005671277180903671,0.09863035762682557,0.0061156774989875,4.084735035896301,12.107731580734253
3,2,2.0,1,0.42000926261146865,0.012129627761980562,0.0752970416797325,0.005936095045280922,3.4180365542570748,10.239843757947286
3,2,2.0,2,1.505454824368159,0.03735498919194671,0.632559556979686,0.024167352243446252,7.45315637588501,21.92473374605179
3,2,2.0,3,2.0687976789971194,0.04235877761956748,0.8763312467063467,0.020793143488890168,10.23698291182518,29.977363499005637
3,2,2.0,4,1.9473754396041234,0.10815544044956056,0.6243960700618724,0.04476814936901767,8.583586211999258,25.021624326705933
3,2,2.0,5,1.0555712362130483,0.010786880075314193,0.21744786128401755,0.009336452338301542,5.565522442261378,16.46810154914856
3,2,2.0,6,0.9819271728396416,0.013425355375013109,0.22395520722493528,0.00866123068861138,5.530008375644684,16.115961186091106
3,2,2.0,7,0.9327490592996279,0.024987895041583306,0.18527962239459156,0.010364563402181963,5.1527773817380265,15.379114675521851
3,2,2.0,8,0.7746902423600356,0.017490300608822493,0.14543204366539916,0.004384552310760337,4.725157900651296,14.083017690976462
3,2,2.0,9,0.6833207848171393,0.018501060755907697,0.11750690153179069,0.005991154848314439,4.294898321231206,12.737424484888713
3,2,2.0,10,0.6241878382861614,0.014328750076571464,0.0937321393750608,0.00804381127691438,4.049323769410451,12.14451584815979
3,2,2.0,11,0.4704796279470126,0.005608187307194533,0.06983335263406237,0.002336392529369188,3.428395362695058,10.183109354972839
4,2,0.0,0,0.46283951091269654,0.0,0.042743877410733454,0.0,2.2031010389328003,12.107731580734253
4,2,0.0,1,0.2837654339770476,0.0,0.030423755835120875,0.0,1.8263608366250992,10.201349973678589
4,2,0.0,2,1.1228389292955399,0.0,0.27508813693809014,0.0,4.001673067609469,21.929460724194843
4,2,0.0,3,1.627494364976883,0.0,0.39783285806576413,0.0,5.558969711263974,29.892533659934998
4,2,0.0,4,1.413242768496275,0.0,0.2134062695937852,0.0,4.560127789775531,24.66772488753001
4,2,0.0,5,0.7346328161656857,0.0,0.07564819107453029,0.0,2.9713378498951593,16.400690118471783
4,2,0.0,6,0.7283427367607752,0.0,0.09557211895783742,0.0,2.9960463692744574,15.964895645777384
4,2,0.0,7,0.6768471822142601,0.0,0.0696315011009574,0.0,2.792564108967781,15.447509209314982
4,2,0.0,8,0.5359888511399428,0.0,0.05142226660003265,0.0,2.5436526089906693,14.106152772903442
4,2,0.0,9,0.47597594062487286,0.0,0.04180063272360712,0.0,2.3549767434597015,13.007513244946798
4,2,0.0,10,0.4222128006319205,0.0,0.03610505621569852,0.0,2.217045232653618,12.371639172236124
4,2,0.0,11,0.3123168343057235,0.0,0.02942685903205226,0.0,1.8714358160893123,10.335129857063293
4,2,1.0,0,0.47187676280736923,0.008879178478237616,0.06258279411122203,0.0034740043581734797,2.2031010389328003,12.107731580734253
4,2,1.0,1,0.31520818794767064,0.009259874561239228,0.04549678391388928,0.002551157271582135,1.8322994406024615,10.23308434089025
4,2,1.0,2,1.1235527848203977,0.039466060027510075,0.44581385860219597,0.02545423800471354,3.989166616400083,21.870977262655895
4,2,1.0,3,1.5496080758670967,0.03721036773485836,0.6095663556052993,0.02035767509850219,5.542274339993795,29.820469919840495
4,2,1.0,4,1.4369837912420431,0.029941141896830864,0.36391627096260587,0.017587895401002536,4.590084482232729,24.82389415105184
4,2,1.0,5,0.8037267501155535,0.011711788482703002,0.1276649949606508,0.009019482569260419,2.9796767701705296,16.42917058467865
4,2,1.0,6,0.7397151139875253,0.010480873515336574,0.1379653103960057,0.007620301346770028,3.0009868919849394,15.970171149571737
4,2,1.0,7,0.7034894913434983,0.00784499630697056,0.1029884072796752,0.0067327301918283615,2.7576055665810904,15.293690538406372
4,2,1.0,8,0.5821336954832077,0.017764582636962588,0.08372807897006472,0.002770758560031989,2.5320797473192216,14.043485418955486
4,2,1.0,9,0.5339807629585266,0.017541489875275623,0.06825910876505077,0.007093824477062505,2.324223600824674,12.817062211036683
4,2,1.0,10,0.47969667067130406,0.012524701830579474,0.05550303882919252,0.0030488405206347013,2.1923961251974107,12.225279529889425
4,2,1.0,11,0.36179975209136805,0.005462522529403616,0.041274079804619154,0.001521292183082726,1.8498725066582362,10.226573204994201
4,2,2.0,0,0.33686438320825496,0.004181936579481701,0.031841572028739995,0.0011116807566554662,2.2031010389328003,12.107731580734253
4,2,2.0,1,0.22589145191013812,0.005248507209336528,0.024155721863886963,0.0015760461340387857,1.831703011194865,10.226894239584604
4,2,2.0,2,0.8090897810955843,0.027277278903298563,0.23517674994654952,0.009093475217093052,3.989176948865255,21.866471044222514
4,2,2.0,3,1.1152132424215475,0.01659680518252449,0.324329431145452,0.0042285758272618676,5.542570549249649,29.802655975023907
4,2,2.0,4,1.0136110668381055,0.012755375892268436,0.16219224985688924,0.0053812923989888465,4.567393059531848,24.696833229064943
4,2,2.0,5,0.5635557367155949,0.009888946865852621,0.062276780426812665,0.0018653619187248584,2.97512349486351,16.40194280942281
4,2,2.0,6,0.5203841009487709,0.013341325502835929,0.06861160337769737,0.004636755958206956,2.9815677791833877,15.8786674340566
4,2,2.0,7,0.5010735517988603,0.011633609869449515,0.05130310262708614,0.0029726374455914355,2.7692819754282634,15.338865725199382
4,2,2.0,8,0.4152012942979733,0.006292654757411721,0.041083786310628055,0.001972436907697718,2.537454354763031,14.07125784556071
4,2,2.0,9,0.3794112188120683,0.00806180299463013,0.03297319712582976,0.0018205318611985118,2.340008543928464,12.916354036331176
4,2,2.0,10,0.3427476870516936,0.005206204068788684,0.02675240784883499,0.0009669699799052375,2.216117853919665,12.358113980293274
4,2,2.0,11,0.25827109316984814,0.002380174415449158,0.020016957889311016,0.0013315857493279258,1.8632738947868348,10.305768450101217
