kv_bytes,key_bits,value_bits,m_over_d,perplexity_mean,perplexity_sd,attention_logit_rmse_mean,attention_kl_mean,n_candidates
32,3,1,0.0,96.76309049197461,0.0,1.6309867094581325,0.36866370521925595,3
40,3,2,0.0,56.9952966774873,0.0,1.6042933722751007,0.3386205112070052,6
44,3,1,1.0,146.4008198160344,15.430421335102649,1.4340324530377984,0.5866136032208387,3
48,4,2,0.0,39.90587026459418,0.0,0.7330415141251352,0.11325846029568412,9
52,4,1,1.0,75.3365747163002,2.6400133939519597,0.7707613175941839,0.19912605457712845,6
56,5,2,0.0,35.01106178304578,0.0,0.3557904664064861,0.032818756263522014,10
60,4,2,1.0,45.16366154650314,1.629417312065922,0.7584809866112967,0.17872992351670594,10
64,5,3,0.0,32.82567348764723,0.0,0.3548547360632155,0.0314641764861234,10
68,5,2,1.0,35.43078184330485,0.7879194537221639,0.392817376455706,0.049732552766767586,12
72,5,4,0.0,32.159346537604755,0.0,0.35466033111636835,0.03082730673567211,8
76,5,3,1.0,33.56413598119426,0.7032709791600827,0.39428259602540894,0.04826608333565269,12
80,6,4,0.0,31.291903031786116,0.0,0.18523835992285362,0.008516921826311672,7
84,5,4,1.0,32.44000234745984,0.501969166509347,0.3934493985544476,0.04724491987985352,10
88,6,5,0.0,30.897153579735804,0.0,0.18567478933578563,0.008455068787548549,3
92,5,4,2.0,31.64412930150039,0.38825239665766687,0.28005671788576164,0.023797172569740926,6
96,7,5,0.0,31.139482958664225,0.0,0.11107581018910019,0.0028596251414051543,2
100,5,4,3.0,31.636510929569734,0.19409673905178715,0.2277977921301499,0.015766027668723835,3
104,8,5,0.0,31.01808161971682,0.0,0.07093381591322315,0.001122561026982617,1
