model,dataset,tokens,token_offset,key_bits,value_bits,m_over_d,m,n_seeds,kv_bytes,key_bytes,value_bytes,qjl_bytes,shared_projection_bytes,fp16_perplexity,seed_perplexities,perplexity_mean,perplexity_sd,perplexity_ci95_low,perplexity_ci95_high,ppl_delta_fp_mean,ppl_delta_fp_sd,ppl_delta_fp_ci95_low,ppl_delta_fp_ci95_high,attention_logit_rmse_mean,attention_logit_rmse_sd,attention_logit_rmse_ci95_low,attention_logit_rmse_ci95_high,qjl_residual_rmse_mean,qjl_residual_rmse_sd,qjl_residual_rmse_ci95_low,qjl_residual_rmse_ci95_high,attention_kl_fp_to_quantized_mean,attention_kl_fp_to_quantized_sd,attention_kl_fp_to_quantized_ci95_low,attention_kl_fp_to_quantized_ci95_high,residual_norm_mean_mean,residual_norm_mean_sd,residual_norm_mean_ci95_low,residual_norm_mean_ci95_high,residual_norm_std_mean,residual_norm_std_sd,residual_norm_std_ci95_low,residual_norm_std_ci95_high,key_norm_mean_mean,key_norm_mean_sd,key_norm_mean_ci95_low,key_norm_mean_ci95_high,runtime_s_mean,runtime_s_sd,runtime_s_ci95_low,runtime_s_ci95_high
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,1,0.5,32,5,32,20,12,8,1179648,30.927341318986464,"[618.7704569043677, 1138.0930470407434, 676.9369418003052, 879.450143281471, 742.0191118159325]",811.0539401685639,206.97749439082506,554.057436945055,1068.0504433920728,780.1265988495775,206.97749439082506,523.1300956260685,1037.1231020730866,3.5937294730709657,0.0760466721808296,3.499305058040826,3.6881538881011053,3.5937294661584827,0.07604667564650337,3.4993050468251403,3.688153885491825,2.4131387318070563,0.0571560885540095,2.3421700743713965,2.484107389242716,9.871740052600702,0.07797750160706694,9.77491819618533,9.968561909016072,1.2596381493947573,0.031664325207735086,1.2203216967568966,1.298954602032618,16.483625231848823,0.1281560933931459,16.324498424532113,16.642752039165533,0.9884390918014105,0.010785192753959595,0.9750475062451308,1.0018306773576904
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,1,1.5,96,5,40,28,12,16,3538944,30.927341318986464,"[218.91244930013733, 216.78503707457477, 223.66653284614108, 228.52385999676684, 238.55726229722987]",225.28902830296997,8.69081825136514,214.49795216531768,236.08010444062225,194.3616869839835,8.69081825136514,183.57061084633122,205.1527631216358,2.071044411448141,0.055066043680834544,2.0026708874861328,2.1394179354101492,2.0710444015347296,0.055066045007416645,2.0026708759255523,2.139417927143907,0.9544023319354488,0.01736415844608124,0.9328418815338438,0.9759627823370537,9.849301580256887,0.06404051407910466,9.769784779498401,9.928818381015372,1.2324969166682826,0.014981408241697662,1.2138950414121734,1.2510987919243919,16.442730052603615,0.10281927970645531,16.315063054670865,16.570397050536364,1.9941179667977849,0.6595115837706983,1.1752261768313628,2.813009756764207
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,1,2.0,128,5,44,32,12,20,4718592,30.927341318986464,"[164.27839185643572, 201.67159861382248, 166.21485355527525, 170.48918693902615, 184.70316076024525]",177.47143834496097,15.711974554474045,157.9624451999769,196.98043148994503,146.5440970259745,15.711974554474045,127.03510388099046,166.05309017095857,1.784050198809968,0.03498478916132693,1.7406108456235991,1.8274895519963368,1.7840501959539123,0.03498478826815076,1.7406108438765682,1.8274895480312565,0.7339911215472966,0.016004821596769508,0.7141185107729139,0.7538637323216794,9.853207921816242,0.03296436347386394,9.812277258467041,9.894138585165443,1.24074103012681,0.009683411910827725,1.2287174861773578,1.2527645740762623,16.444583768314786,0.057826851857484075,16.372782248233886,16.516385288395686,1.074394625198329,0.057555815377174406,1.0029296413572288,1.145859609039429
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,1,3.0,192,5,52,40,12,28,7077888,30.927341318986464,"[112.6864716226765, 135.3959061781448, 117.63400184392351, 124.00383592430612, 122.08133464248264]",122.36031004230672,8.49451161295344,111.81298079017864,132.9076392944348,91.43296872332026,8.49451161295344,80.88563947119218,101.98029797544834,1.4400996768847107,0.02628289740893308,1.4074651494035555,1.472734204365866,1.440099672662715,0.02628289564318666,1.4074651473740236,1.4727341979514066,0.4999235795797884,0.007049386491053962,0.4911706101644227,0.508676548995154,9.83349485596021,0.022841582832546788,9.805133284895048,9.861856427025371,1.248828103683061,0.013388364000044447,1.2322042541093585,1.2654519532567636,16.41404400004281,0.03932615290705951,16.36521413179026,16.46287386829536,1.4447546331968624,0.6503129774595441,0.6372844215206506,2.252224844873074
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,1,4.0,256,5,60,48,12,36,9437184,30.927341318986464,"[94.70636877096143, 112.90677745995042, 94.52157591497313, 97.90370318291697, 110.50691796320623]",102.10906865840164,8.904626590244211,91.05251440384745,113.16562291295583,71.18172733941518,8.904626590244211,60.125173084861,82.23828159396936,1.2430334420046874,0.01563400050718536,1.2236212664270159,1.2624456175823588,1.2430334414976338,0.01563399732268836,1.2236212698740376,1.26244561312123,0.37729553165522195,0.002316503616881653,0.3744192125124312,0.3801718507980127,9.819027752015327,0.033770627853534796,9.777095979212856,9.860959524817797,1.2488420327711436,0.012175404684664931,1.2337242711106338,1.2639597944316534,16.388753838671576,0.05600987180429405,16.319208397308177,16.458299280034975,1.0759978749993024,0.037420433872667816,1.029534269462446,1.1224614805361588
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,2,0.0,0,5,32,12,20,0,0,30.927341318986464,"[250.98435964023503, 250.98435964023503, 250.98435964023503, 250.98435964023503, 250.98435964023503]",250.98435964023503,0.0,250.98435964023503,250.98435964023503,220.05701832124856,0.0,220.05701832124856,220.05701832124856,4.109909249469638,0.0,4.109909249469638,4.109909249469638,4.109909258782864,0.0,4.109909258782864,4.109909258782864,0.9692583258600078,0.0,0.9692583258600078,0.9692583258600078,10.22776167591413,0.0,10.22776167591413,10.22776167591413,1.2736805838843186,0.0,1.2736805838843186,1.2736805838843186,17.087706181738113,0.0,17.087706181738113,17.087706181738113,0.9480270249972819,0.01449090136397045,0.930034194472118,0.9660198555224457
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,2,0.5,32,5,40,20,20,8,1179648,30.927341318986464,"[914.4834542558034, 837.5397707211768, 761.1006619492443, 945.356873386963, 888.0805958802181]",869.3122712386811,72.27501552239801,779.5709864949013,959.0535559824609,838.3849299196946,72.27501552239801,748.6436451759148,928.1262146634745,3.572655759793189,0.06739815278408512,3.4889698999357535,3.6563416196506244,3.5726557636840477,0.06739815328309642,3.488969903207008,3.6563416241610875,2.2981137543606263,0.06659536215153923,2.2154246907297184,2.380802817991534,9.841220833526718,0.09977871285712059,9.71732919798492,9.965112469068515,1.2526994069003397,0.035056275327849204,1.2091712919146305,1.2962275218860488,16.433296088377634,0.16722222548930948,16.225662271288048,16.64092990546722,1.7737027165974724,0.09711209159362555,1.6531221286754012,1.8942833045195435
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,2,1.0,64,5,44,24,20,12,2359296,30.927341318986464,"[251.96668464952293, 322.2702969691587, 289.4459996766781, 344.3976244907411, 318.5157342847421]",305.3192680141686,35.66181728743229,261.0392733778433,349.59926265049387,274.3919266951821,35.66181728743229,230.11193205885684,318.6719213315074,2.4909930255264046,0.07955468252668274,2.3922128403444924,2.5897732107083167,2.490993020290302,0.07955467886840002,2.392212839650748,2.589773200929856,1.289007825906285,0.031821073080363645,1.2494967450781864,1.3285189067343834,9.799422933326827,0.12648603742132672,9.642369774385312,9.956476092268343,1.2478271935342087,0.013352563313923094,1.231247796383574,1.2644065906848434,16.357766787542236,0.2084641849541854,16.098924314169732,16.61660926091474,1.331305366597371,0.4666096916328936,0.751932911283847,1.910677821910895
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,2,1.5,96,5,48,28,20,16,3538944,30.927341318986464,"[169.4931477924318, 168.83235663184237, 154.32526724792663, 183.6240801339607, 214.6782992455207]",178.19063021033645,22.87821782723109,149.78357079120008,206.59768962947282,147.26328889135,22.87821782723109,118.8562294722136,175.67034831048636,2.023404614937802,0.04887027918431181,1.9627241486924754,2.084085081183129,2.0234046095775233,0.04887028223464816,1.9627241395447037,2.084085079610343,0.8917007121128133,0.013355599685584843,0.8751175448088011,0.9082838794168255,9.766178572509023,0.045194159304696904,9.710062611971296,9.822294533046751,1.2459586039599446,0.010337561550121969,1.2331228259539426,1.2587943819659466,16.29885407288869,0.07375208776751271,16.207278760715408,16.390429385061974,1.4945822749999933,0.30317831382252897,1.1181366776904365,1.8710278723095501
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,2,2,2.0,128,5,52,32,20,20,4718592,30.927341318986464,"[132.00139622598326, 121.84312723590362, 96.38584695321681, 132.7771122933207, 137.52808145246846]",124.10711283217857,16.516697705480816,103.59892392206832,144.6153017422888,93.17977151319211,16.516697705480816,72.67158260308186,113.68796042330236,1.7549179061005513,0.04824456575489547,1.6950143656937233,1.8148214465073793,1.754917906410992,0.04824456053933102,1.6950143724801428,1.8148214403418415,0.6903726978382717,0.019596000190538716,0.6660410498928857,0.7147043457836577,9.80535230487585,0.052491297597868594,9.740175750429577,9.870528859322123,1.2625047750150165,0.012222624554800476,1.2473283821417593,1.2776811678882736,16.362027611666257,0.08512143641504037,16.25633538859431,16.467719834738205,0.9991278750021593,0.024599579237057804,0.9685834630925437,1.0296722869117747
