projection_mode,key_bits,value_bits,m_over_d,kv_bytes,perplexity_mean,perplexity_sd,attention_logit_rmse_mean,attention_kl_mean,best_mse_only_at_or_below_budget,best_mse_only_bytes,best_mse_only_ppl,ppl_above_best_mse_only
block_orthogonal,3,2,1.0,52,49.164605535195385,2.281800336614637,0.8397942853470644,0.23594827616729566,4/2,48,39.90587026459418,9.258735270601207
gaussian,3,2,1.0,52,92.28882193926306,4.768239579218815,1.4157372271642088,0.5391454674316467,4/2,48,39.90587026459418,52.38295167466888
block_orthogonal,3,2,2.0,60,39.84096487652355,0.7207528128765328,0.5970628246768481,0.11921164227436142,5/2,56,35.01106178304578,4.829903093477768
gaussian,3,2,2.0,60,54.433973951566735,1.9401006705214368,1.0070494680354993,0.28003345009702674,5/2,56,35.01106178304578,19.422912168520952
block_orthogonal,4,2,1.0,60,36.95386096207914,0.5859554150446662,0.45575382236598266,0.0710866455352516,5/2,56,35.01106178304578,1.9427991790333579
gaussian,4,2,1.0,60,45.16366154650314,1.629417312065922,0.7584809866112967,0.17872992351670594,5/2,56,35.01106178304578,10.15259976345736
block_orthogonal,4,2,2.0,68,34.865386415957225,0.6231522513862326,0.3227196106066306,0.035247284630572216,5/3,64,32.82567348764723,2.0397129283099957
gaussian,4,2,2.0,68,37.84419458622423,0.5315506942531076,0.5401095506890367,0.09005946337064315,5/3,64,32.82567348764723,5.018521098577004
