comparison,left_config,right_config,left_kv_bytes,right_kv_bytes,right_minus_left_ppl_mean,right_minus_left_ppl_sd,right_minus_left_ci95_low,right_minus_left_ci95_high,paired_cohens_dz,individual_paired_differences
4/2: MSE only versus m=d,"4/2,m=0.0d","4/2,m=1.0d",48,60,5.2577912819089665,1.629417312065922,3.2346024674667633,7.28098009635117,3.2267923281376363,"[4.655841067483024, 6.657785261516565, 6.794402245885344, 2.8233419229953114, 5.357585911664586]"
4/2: m=d versus m=2d,"4/2,m=1.0d","4/2,m=2.0d",60,68,-7.319466960278907,1.9489525505632974,-9.739411176520754,-4.899522744037061,-3.755590128740381,"[-6.4460597673627476, -8.336173278964097, -9.394777877350677, -4.389571148663968, -8.030752729053049]"
3/2: MSE only versus m=d,"3/2,m=0.0d","3/2,m=1.0d",40,52,35.293525261775756,4.768239579218815,29.37297384144949,41.214076682102025,7.401793612802889,"[27.733296374719174, 35.336689289734664, 34.79726345190106, 38.45386334981448, 40.14651384270941]"
3/2: m=d versus m=2d,"3/2,m=1.0d","3/2,m=2.0d",52,60,-37.854847987696324,5.254490731864444,-44.37915995834775,-31.330536017044896,-7.2042848525996614,"[-29.86319856829796, -37.5201448167695, -39.18338035196869, -38.174885458668435, -44.53263074277704]"
"60-byte allocation: 4/2,m=d versus 3/2,m=2d","4/2,m=1.0d","3/2,m=2.0d",60,60,9.270312405063594,3.3518156323087864,5.108483605809189,13.432141204317999,2.7657584491537346,"[10.303683151831315, 8.248185624341723, 5.908907266940155, 14.545062381043863, 7.345723601160913]"
"68-byte allocation: 5/2,m=d versus 4/2,m=2d","5/2,m=1.0d","4/2,m=2.0d",68,68,2.4134127429193852,1.1940973728621394,0.9307450246867706,3.8960804611519997,2.0211188783831435,"[3.8152778357743884, 2.8382977775573153, 0.7929368598604256, 2.9849994504084094, 1.635551790996388]"
"MSE-only 5/2 versus 4/2,m=2d","5/2,m=0.0d","4/2,m=2.0d",56,68,2.8331328031784535,0.5315506942531076,2.173125442904153,3.493140163452754,5.329939051550566,"[3.104589781668672, 3.216420464100864, 2.294432850083062, 3.3285792558797382, 2.2216416641599324]"
5/4: MSE only versus m=2d,"5/4,m=0.0d","5/4,m=2.0d",72,92,-0.5152172361043654,0.38825239665766687,-0.9972962592505179,-0.03313821295821301,-1.3270162413411888,"[-0.5603615320381365, -1.1109590271664729, -0.06274992453541728, -0.31252762101438236, -0.5294880757674179]"
5/4: m=2d versus m=3d,"5/4,m=2.0d","5/4,m=3.0d",92,100,-0.0076183719306563095,0.41530153261285935,-0.5232833333748901,0.5080465895135775,-0.01834419411535881,"[0.3724788360416831, 0.4581578195438709, -0.5284549286306159, -0.2169604547530355, -0.12331313185518411]"
