model,dataset,tokens,token_offset,key_bits,value_bits,m_over_d,m,n_seeds,kv_bytes,key_bytes,value_bytes,qjl_bytes,shared_projection_bytes,fp16_perplexity,seed_perplexities,perplexity_mean,perplexity_sd,perplexity_ci95_low,perplexity_ci95_high,ppl_delta_fp_mean,ppl_delta_fp_sd,ppl_delta_fp_ci95_low,ppl_delta_fp_ci95_high,attention_logit_rmse_mean,attention_logit_rmse_sd,attention_logit_rmse_ci95_low,attention_logit_rmse_ci95_high,qjl_residual_rmse_mean,qjl_residual_rmse_sd,qjl_residual_rmse_ci95_low,qjl_residual_rmse_ci95_high,attention_kl_fp_to_quantized_mean,attention_kl_fp_to_quantized_sd,attention_kl_fp_to_quantized_ci95_low,attention_kl_fp_to_quantized_ci95_high,residual_norm_mean_mean,residual_norm_mean_sd,residual_norm_mean_ci95_low,residual_norm_mean_ci95_high,residual_norm_std_mean,residual_norm_std_sd,residual_norm_std_ci95_low,residual_norm_std_ci95_high,key_norm_mean_mean,key_norm_mean_sd,key_norm_mean_ci95_low,key_norm_mean_ci95_high,runtime_s_mean,runtime_s_sd,runtime_s_ci95_low,runtime_s_ci95_high,fraction_observed_ppl_gain,added_bytes_from_previous,ppl_gain_from_previous,ppl_gain_per_added_byte,logit_rmse_gain_per_added_byte
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,1.0,64,5,52,32,20,12,2359296,30.927341318986464,"[84.72859305220648, 92.33198596722197, 91.79256012938836, 95.44916002730179, 97.14181052019671]",92.28882193926306,4.768239579218815,86.3682705189368,98.20937335958932,61.361480620276595,4.768239579218815,55.440929199950325,67.28203204060286,1.4157372271642088,0.019046497921959695,1.3920878764026487,1.4393865779257689,1.4157372287371093,0.01904650389556298,1.392087870558341,1.4393865869158775,0.5391454674316467,0.012392733489359351,0.5237578564185751,0.5545330784447183,5.539119231286976,0.021146440539633906,5.5128624573787555,5.565376005195196,0.800903384708282,0.0038423071885226407,0.7961325302022539,0.8056742392143101,16.351848385400242,0.05932253159015742,16.27818973364244,16.425507037158045,1.6347179748059717,0.025274442282408303,1.6033356097492264,1.666100339862717,0.0,,,,
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,1.25,80,5,54,34,20,14,2949120,30.927341318986464,"[83.25223705241488, 74.04607243930377, 72.33079701870139, 75.87608601577774, 79.90667370469636]",77.08237324617883,4.452404423035704,71.55398296865219,82.61076352370547,46.15503192719237,4.452404423035704,40.626641649665736,51.683422204719,1.2658837105975382,0.018100279513584002,1.2434092451680958,1.2883581760269807,1.2658837110321555,0.01810028217908634,1.2434092422930547,1.2883581797712562,0.4379031919111084,0.009631293978621952,0.4259443609217368,0.44986202290047994,5.538301928506957,0.023400704628735353,5.509246116036857,5.567357740977058,0.7984481174809237,0.004587263047782004,0.7927522781042023,0.8041439568576451,16.348503875732423,0.06845699272944088,16.26350329243498,16.433504459029866,1.6000682333979057,0.040527788348988444,1.5497463376781448,1.6503901291176666,0.2930035092762393,2,15.206448693084226,7.603224346542113,0.07492675828333528
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,1.5,96,5,56,36,20,16,3538944,30.927341318986464,"[67.68358948381629, 60.78979168757815, 66.6993569869802, 68.01488392669351, 73.75739416067401]",67.38900324914843,4.61140205565149,61.66319133540314,73.11481516289372,36.46166193016197,4.61140205565149,30.735850016416688,42.187473843907256,1.1585767934098838,0.01889067384146537,1.1351209237991267,1.182032663020641,1.158576799566961,0.01889067627345504,1.1351209269364897,1.1820326721974321,0.3707994056063601,0.005190903848009396,0.36435404718014947,0.37724476403257073,5.538480532831616,0.01649486270482856,5.517999455655716,5.558961610007516,0.8022154482081533,0.005319554855665142,0.7956103484574039,0.8088205479589027,16.34867201248805,0.047746596793678125,16.28938678221259,16.40795724276351,1.5985463666002033,0.008300763619323121,1.5882396072564902,1.6088531259439165,0.47977896771280465,2,9.693369997030402,4.846684998515201,0.0536534585938272
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,1.75,112,5,58,38,20,18,4128768,30.927341318986464,"[57.949405593338675, 55.6750020519895, 58.57526450222688, 60.25784747880368, 61.26657193294355]",58.744818311860456,2.164122243658048,56.05770563419831,61.431930989522606,27.817476992873992,2.164122243658048,25.13036431521184,30.504589670536145,1.0781131354160607,0.020277842789201344,1.0529348680634736,1.1032914027686478,1.0781131419042747,0.020277844639110608,1.0529348722547218,1.1032914115538275,0.31894120982033203,0.006257623021197036,0.3111713446005806,0.32671107504008345,5.551925321171681,0.021714826337927304,5.52496280308063,5.578887839262732,0.8045747238004373,0.00278476351691388,0.801116983197974,0.8080324644029006,16.38916301396158,0.06548457804463809,16.307853170965988,16.47047285695717,1.6593661830062048,0.0323542928125822,1.6191930224334787,1.6995393435789308,0.6463383381863375,2,8.644184937287974,4.322092468643987,0.04023182899691158
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,2.0,128,5,60,40,20,20,4718592,30.927341318986464,"[54.86539448390852, 54.811841150452466, 52.609179777419676, 57.27427456863335, 52.609179777419676]",54.433973951566735,1.9401006705214368,52.02502079608929,56.84292710704418,23.506632632580274,1.9401006705214368,21.097679477102822,25.915585788057726,1.0070494680354993,0.012319490485026095,0.9917528002240286,1.02234613584697,1.0070494698671002,0.012319492744424777,0.9917527992502154,1.0223461404839849,0.28003345009702674,0.0036225252309415664,0.2755354909351818,0.28453140925887166,5.5435483869579105,0.01259749398088076,5.527906532214263,5.559190241701558,0.8068120272105767,0.004066498668533566,0.801762802215115,0.8118612522060383,16.365211808350352,0.03519696600310883,16.321509002818292,16.408914613882413,1.6071318081987556,0.015139330981418137,1.5883338459622378,1.6259297704352733,0.7294012906878108,2,4.310844360293721,2.1554221801468607,0.03553183369028068
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,2.5,160,5,64,44,20,24,5898240,30.927341318986464,"[45.88654216244616, 48.13566784262273, 48.60804550132058, 46.70027251047952, 49.037147591523336]",47.67353512167847,1.3310615327668218,46.02080393704799,49.32626630630895,16.746193802692,1.3310615327668218,15.093462618061519,18.398924987322484,0.8973015285304023,0.010272551962962643,0.8845464705883143,0.9100565864724904,0.8973015306517482,0.010272548552342914,0.8845464769445038,0.9100565843589926,0.22303585492772982,0.004213610711972594,0.2178039662042277,0.22826774365123192,5.543465267535713,0.0061110486401131404,5.5358773984480125,5.5510531366234135,0.8085264337973462,0.0046283937959311315,0.8027795238514289,0.8142733437432635,16.36733714044094,0.01692735162187108,16.346319057347127,16.388355223534756,1.6106273920013336,0.024817468114719656,1.5798124353167164,1.6414423486859508,0.859663940526986,4,6.760438829888265,1.6901097074720663,0.027436984876274245
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,3.0,192,5,68,48,20,28,7077888,30.927341318986464,"[42.68750480955783, 45.04298191193784, 44.21492934326177, 43.571970383241556, 47.250760544967605]",44.55362939859332,1.737438879123862,42.39631409330572,46.71094470388093,13.626288079606855,1.737438879123862,11.468972774319255,15.783603384894455,0.815556214708421,0.01285261882458343,0.7995975806312998,0.8315148487855422,0.8155562163123654,0.012852615404360382,0.799597586482012,0.8315148461427189,0.18279804685929169,0.002860016759741861,0.17924686701446083,0.18634922670412254,5.538452217396762,0.010839110092280854,5.52499368462261,5.551910750170914,0.8097417196879785,0.0017339492379370909,0.8075887373445192,0.8118947020314378,16.354045054316522,0.029795271683487917,16.317049338150436,16.391040770482608,1.6435794000019086,0.023231810926335028,1.6147332967616015,1.6724255032422157,0.9197794444112504,4,3.1199057230851466,0.7799764307712866,0.02043632845549534
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,3,2,4.0,256,5,76,56,20,36,9437184,30.927341318986464,"[39.05766182321608, 40.25815129472595, 39.78912962559818, 40.57389988868238, 42.27266353442275]",40.39030123332907,1.1970583741433707,38.903956946406915,41.87664552025122,9.462959914342601,1.1970583741433707,7.976615627420446,10.949304201264756,0.7050617776811123,0.00875130658070459,0.6941955953626078,0.7159279599996169,0.7050617774431076,0.00875130736154256,0.6941955941550646,0.7159279607311506,0.1365857404229852,0.0022953973901633094,0.13373562812204856,0.13943585272392187,5.53909411471751,0.006106788412099389,5.531511535401558,5.5466766940334615,0.8117946766627332,0.002173932419357723,0.8090953830430887,0.8144939702823777,16.355239935384855,0.018762383931142594,16.331943358737078,16.378536512032632,1.7047392668086103,0.030912546815157805,1.6663562703354404,1.7431222632817802,1.0,8,4.163328165264254,0.5204160206580317,0.013811804628413582
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,1.0,64,5,60,40,20,12,2359296,30.927341318986464,"[44.5617113320772, 46.56365552611074, 46.70027251047952, 42.72921218758949, 45.263456176258764]",45.16366154650314,1.629417312065922,43.14047273206094,47.18685036094534,14.23632022751668,1.629417312065922,12.213131413074477,16.259509041958882,0.7584809866112967,0.007903666548419949,0.7486672884043163,0.7682946848182771,0.7584809846348233,0.007903664993868595,0.7486672883580733,0.7682946809115733,0.17872992351670594,0.00408808878149782,0.1736538908552594,0.18380595617815249,2.9828139272414975,0.008835676341150909,2.9718429860289097,2.9937848684540853,0.487154360798498,0.002478794697136848,0.48407653066412476,0.49023219093287124,16.32179915772544,0.04593023198181116,16.26476924224448,16.3788290732064,1.5789523501996883,0.019215314045412473,1.5550933865353205,1.602811313864056,0.0,,,,
gpt2,Salesforce/wikitext:wikitext-2-raw-v1:test,512,0,4,2,1.25,80,5,62,42,20,14,2949120,30.927341318986464,"[42.3553080116137, 44.955093194655625, 42.56262677643713, 40.33685733281881, 43.571970383241556]",42.75637113975336,1.6994128672654167,40.64627136438566,44.86647091512106,11.8290298207669,1.6994128672654167,9.718930045399201,13.939129596134599,0.6804917325834847,0.005662896865693362,0.6734603174198124,0.6875231477471571,0.6804917308087978,0.005662893179756862,0.67346032022182,0.6875231413957755,0.14358977295568265,0.002601840842637136,0.14035916085232397,0.14682038505904133,2.981970626281367,0.0027948218477067232,2.9785003966116763,2.985440855951058,0.48860308723524215,0.0019433247768508347,0.4861901308230091,0.4910160436474752,16.31650106873777,0.014657630907710946,16.298301216140707,16.334700921334836,1.6766500667989022,0.20639039832449016,1.4203825396244483,1.932917593973356,0.26139634332977135,2,2.4072904067497802,1.2036452033748901,0.03899462701390599
